0,880910,486
1,985953,94
2,229435,2850
3,723626,2127
4,488144,2682
5,31891,1354
6,865299,3758
7,622242,2063
8,501207,3625
9,22574,2150
10,847173,4543
11,123138,105
12,1059478,3269
13,388805,3520
14,411975,278
15,228185,3163
16,2109,2406
17,1020434,569
18,771976,4421
19,1003715,2329
20,534230,95
21,157930,1965
22,152926,3649
23,1012427,4137
24,833216,3618
25,433332,1086
26,4935,2877
27,81407,1763
28,781691,699
29,747692,2245
30,315505,4295
31,356658,543
32,650869,3919
33,441366,41
34,160223,2910
35,217530,4081
36,849918,2315
37,1096074,4639
38,908123,2301
39,941222,3400
40,1047728,3565
41,1052579,3103
42,909217,1377
43,1055319,901
44,964747,3550
45,204064,1615
46,367811,1519
47,1028225,2934
48,52423,1566
49,914897,739
50,896819,2001
51,341808,67
52,404857,48
53,299528,4179
54,837071,250
55,1018776,179
56,31438,767
57,81051,3032
58,190191,2275
59,632718,3057
60,286869,2863
61,606347,3373
62,148162,739
63,881264,4169
64,834607,2897
65,491923,188
66,841981,4364
67,160651,2582
68,436624,1105
69,780036,276
70,879796,587
71,714820,2189
72,952593,2967
73,756560,2041
74,493779,346
75,705007,1828
76,157893,698
77,643079,2249
78,1014046,514
79,307198,257
80,1057835,3652
81,736932,3491
82,405311,2854
83,458365,2463
84,839108,901
85,670299,4504
86,61429,2098
87,945324,3107
88,211648,439
89,111834,1368
90,909779,1867
91,500543,4519
92,467143,1843
93,892495,2962
94,242468,959
95,136429,2825
96,216363,719
97,259810,2626
98,235764,440
99,993500,2065
100,81449,2295
101,532391,3567
102,670888,820
103,24625,4366
104,548181,147
105,61126,3829
106,189385,1005
107,1078781,4531
108,471077,291
109,814874,1461
110,995013,1603
111,313829,3047
112,269208,821
113,135931,3604
114,829538,2978
115,127425,4277
116,145989,3791
117,848411,3201
118,236092,3380
119,179571,1091
120,536407,3594
121,385528,1271
122,195202,4152
123,679462,2347
124,472194,3257
125,1032090,3247
126,850138,1098
127,470211,4339
128,802922,314
129,781029,2472
130,709119,1482
131,438244,805
132,58847,89
133,235851,3547
134,924190,1979
135,426544,4157
136,329719,3128
137,750683,1059
138,402808,1028
139,307005,2638
140,513730,1338
141,817449,1785
142,571574,1477
143,791485,2624
144,994988,3241
145,1095743,1773
146,227239,3594
147,955614,3525
148,507301,291
149,929462,2739
150,1093192,1650
151,482543,936
152,222068,1113
153,158385,1677
154,65664,502
155,186666,2808
156,878932,2643
157,181304,4447
158,663806,1465
159,910890,4421
160,44142,1562
161,591597,3414
162,29325,3044
163,889808,3465
164,551096,4040
165,776545,2754
166,532134,571
167,720940,2274
168,394,2878
169,429879,2532
170,269052,2967
171,776272,1020
172,888695,1090
173,551584,4520
174,119285,1243
175,1022355,440
176,956545,2011
177,870153,4166
178,561564,2516
179,307480,1409
180,263277,3549
181,744071,3312
182,251546,1903
183,231239,4070
184,226190,425
185,669053,3690
186,537413,3342
187,960760,809
188,453403,173
189,14235,791
190,996409,834
191,886347,2264
192,457950,4392
193,461060,4108
194,836919,3310
195,1063423,2209
196,921690,3144
197,185789,3604
198,933066,3609
199,71361,2630
200,572106,2939
201,755384,4058
202,273542,1381
203,198423,1161
204,837107,4586
205,753376,3270
206,512232,950
207,164808,271
208,1094799,4238
209,145512,4248
210,457430,3017
211,792828,3149
212,880183,3802
213,657565,1803
214,232798,107
215,73540,2321
216,1080807,845
217,646275,3926
218,507551,2225
219,911990,3624
220,49308,3383
221,107283,2684
222,893120,3968
223,189977,720
224,445001,2769
225,694307,614
226,1022288,1787
227,555981,1884
228,816125,1504
229,886954,2027
230,889990,3219
231,1076006,2208
232,15716,414
233,510957,1970
234,1050144,1351
235,448221,762
236,833341,1028
237,167326,767
238,91607,1595
239,675894,3436
240,650008,4221
241,499067,1029
242,974899,1425
243,955866,2168
244,64984,3302
245,838613,3790
246,910792,4235
247,684360,2470
248,186466,2049
249,801108,1034
250,575379,3483
251,1005326,1369
252,994622,2710
253,888648,2819
254,864755,4377
255,355235,1662
256,983004,3931
257,844653,3765
258,287421,1872
259,1082289,2430
260,88188,2798
261,688402,3325
262,981376,1945
263,150023,4303
264,647150,4451
265,634903,2281
266,29704,2295
267,967894,359
268,815201,809
269,624111,4531
270,310442,1831
271,1086687,263
272,902840,2196
273,167467,19
274,595949,3645
275,1008068,3092
276,192149,2922
277,630334,209
278,471822,4037
279,296736,2301
280,144134,3101
281,336631,3407
282,322502,3272
283,1006278,2741
284,757049,159
285,825284,236
286,987621,3314
287,366182,2654
288,142446,993
289,945870,4206
290,301985,1548
291,179208,3065
292,638364,1142
293,773868,3590
294,886738,355
295,107217,583
296,1019787,3861
297,508990,1043
298,312110,1606
299,86900,3169
300,643045,2917
301,868182,684
302,351250,2793
303,664077,3034
304,842603,2067
305,464757,2113
306,285305,1393
307,957635,3086
308,508639,5
309,571938,3477
310,736733,3394
311,480425,1099
312,469917,293
313,61005,1573
314,678816,4549
315,623099,2431
316,703148,4339
317,925207,2140
318,82208,891
319,20012,1727
320,498146,2723
321,568486,4015
322,759066,2431
323,702965,4406
324,964691,1033
325,273692,2514
326,574659,1594
327,160137,3170
328,959269,3748
329,922105,4255
330,1033756,4143
331,1045752,3527
332,299353,4531
333,145708,1353
334,823176,4225
335,749557,2252
336,111469,3792
337,262111,4265
338,26213,2707
339,441880,1282
340,620547,1825
341,1057711,512
342,552515,2106
343,508652,1741
344,945193,3917
345,966797,3394
346,213824,3359
347,834106,2889
348,624004,2813
349,528143,1657
350,392306,3002
351,40637,4311
352,408625,3665
353,1031530,3849
354,916924,4039
355,982360,3148
356,585432,993
357,1062721,2245
358,992098,2780
359,518605,4198
360,1081897,598
361,258351,3674
362,855284,4336
363,848493,1519
364,798413,516
365,366637,863
366,778348,951
367,268335,4408
368,138053,1001
369,475670,3398
370,209017,1802
371,151893,2127
372,144183,930
373,344782,2751
374,230581,3945
375,789069,3706
376,134333,1788
377,888373,1265
378,454273,1687
379,304071,4291
380,662437,2121
381,991449,4335
382,303999,3242
383,435894,696
384,713214,4659
385,345056,1307
386,900661,2292
387,1018761,1349
388,317686,2038
389,173426,3918
390,135202,426
391,325408,2377
392,170236,503
393,1059045,2008
394,1093814,1785
395,39137,1438
396,518997,329
397,1061744,1940
398,181146,1945
399,137536,2560
400,49049,3913
401,1016479,413
402,148963,1842
403,688663,2918
404,612363,906
405,850289,3325
406,59122,1650
407,836908,188
408,1006025,3425
409,861396,694
410,608087,121
411,780732,3272
412,538651,3339
413,611709,4614
414,34592,3245
415,211355,4279
416,481442,1755
417,380061,4521
418,619623,2250
419,936809,1996
420,302359,3561
421,34722,2924
422,762045,3035
423,1014421,2545
424,743927,2391
425,380729,2978
426,9218,835
