0,2021-05-01,2021-06-12,2021-04-29,3
1,2021-06-02,2021-11-26,2021-06-01,5
2,2021-07-17,2022-01-08,2021-07-16,7
3,2021-10-31,2022-04-02,2021-10-30,10
4,2021-02-20,2021-08-14,2021-02-17,13
5,2021-07-14,2022-01-07,2021-07-12,15
6,2021-11-10,2021-12-12,2021-11-07,16
7,2021-08-16,2021-10-24,2021-08-16,20
8,2021-10-23,2022-04-14,2021-10-20,21
9,2021-03-16,2021-08-22,2021-03-14,23
10,2021-08-11,2021-10-11,2021-08-08,24
11,2021-06-04,2021-07-14,2021-06-03,28
12,2021-09-26,2021-12-10,2021-09-24,29
13,2021-11-07,2022-02-27,2021-11-07,30
14,2021-05-30,2021-10-24,2021-05-26,32
15,2021-12-13,2022-05-11,2021-12-10,34
16,2021-06-24,2021-12-09,2021-06-22,35
17,2022-01-19,2022-05-25,2022-01-17,36
18,2021-07-25,2022-01-14,2021-07-25,37
19,2021-12-03,2022-02-25,2021-12-03,38
20,2021-03-12,2021-07-10,2021-03-08,39
21,2021-03-03,2021-06-21,2021-03-02,40
22,2021-11-14,2021-12-16,2021-11-12,42
23,2021-12-05,2022-02-23,2021-12-02,45
24,2021-12-21,2022-03-20,2021-12-18,46
25,2021-11-19,2022-02-20,2021-11-17,47
26,2021-03-11,2021-05-30,2021-03-08,48
27,2018-04-21,2018-09-28,2018-04-20,50
28,2018-03-26,2018-07-28,2018-03-26,51
29,2018-03-08,2018-06-17,2018-03-05,53
30,2018-10-17,2018-12-03,2018-10-13,54
31,2018-05-09,2018-10-19,2018-05-08,55
32,2018-12-04,2019-02-10,2018-12-02,56
33,2018-10-05,2018-11-13,2018-10-01,58
34,2018-12-29,2019-06-23,2018-12-26,59
35,2018-10-25,2019-03-02,2018-10-25,60
36,2018-06-01,2018-09-01,2018-05-30,61
37,2018-12-17,2019-03-23,2018-12-15,62
38,2018-08-16,2018-10-01,2018-08-15,63
39,2018-12-29,2019-02-02,2018-12-28,66
40,2018-04-10,2018-05-12,2018-04-08,68
41,2018-03-12,2018-04-17,2018-03-12,69
42,2018-08-02,2018-10-30,2018-08-02,70
43,2018-10-23,2019-02-23,2018-10-22,71
44,2018-05-17,2018-10-10,2018-05-14,73
45,2019-02-05,2019-07-25,2019-02-04,76
46,2018-08-11,2018-10-27,2018-08-08,77
47,2018-02-28,2018-06-18,2018-02-27,78
48,2018-05-14,2018-06-22,2018-05-13,81
49,2019-01-07,2019-03-19,2019-01-05,82
50,2019-01-04,2019-06-12,2019-01-02,85
51,2018-06-01,2018-11-25,2018-05-28,86
52,2018-07-20,2018-09-17,2018-07-19,89
53,2018-09-26,2018-11-09,2018-09-24,90
54,2018-09-07,2019-02-01,2018-09-06,94
55,2018-12-06,2019-05-20,2018-12-03,95
56,2018-03-25,2018-05-03,2018-03-21,96
57,2022-04-24,2022-09-12,2022-04-21,99
58,2022-06-02,2022-10-07,2022-06-01,100
59,2022-04-30,2022-05-30,2022-04-27,101
60,2022-12-28,2023-06-06,2022-12-25,102
61,2022-07-17,2022-12-10,2022-07-13,104
62,2022-11-22,2023-01-24,2022-11-21,105
63,2022-08-29,2022-11-10,2022-08-25,109
64,2022-06-30,2022-08-04,2022-06-26,110
65,2022-09-26,2022-12-13,2022-09-23,112
66,2022-08-09,2022-12-26,2022-08-06,114
