0,4,koty,2021
1,5,dugongi,2018
2,5,wydry,2022
3,2,strusie,2017
4,6,foki,2023
5,6,aligatory,2022
6,3,zolwie morskie,2020
7,4,lemury,2019
8,2,wydry,2022
9,3,zolwie morskie,2018
10,4,krokodyle,2016
11,6,goryle,2021
12,5,zolwie morskie,2023
13,4,wydry,2020
14,5,owce,2017
15,6,losie,2018
16,4,weze,2020
17,4,hipopotamy,2019
18,5,dziki,2019
19,5,tygrysy,2022
20,4,kangury,2020
21,6,sarny,2023
22,6,orangutany,2022
23,6,kozy,2021
24,3,borsuki,2020
25,2,psy,2016
26,4,dugongi,2018
27,2,hipopotamy,2015
28,3,lasice,2022
29,3,weze,2022
30,5,wydry,2021
31,2,szczury,2022
32,3,lamparciki,2023
33,6,owady,2023
34,4,ptaki,2019
35,6,pajaki,2017
36,5,nosorozce,2019
37,5,morswiny,2018
38,2,swinie,2019
39,5,borsuki,2022
40,5,myszy,2017
41,4,nosorozce,2019
42,3,gepardy,2022
43,5,krowy,2017
44,5,wilkowie,2016
45,4,myszy,2019
46,3,kangury,2023
47,2,jaguary,2018
48,5,zolwie,2022
49,5,orangutany,2022
50,5,szakale,2017
51,5,kojoty,2021
52,6,weze,2022
53,5,pingwiny,2019
54,4,owce,2022
55,4,wilkowie,2015
56,4,owady,2021
57,4,szakale,2019
58,5,szczury,2021
59,2,dziki,2020
60,6,ptaki,2016
61,3,slonie,2015
62,4,hipopotamy,2020
63,2,dziki,2016
64,6,dziki,2020
65,3,lasice,2015
66,6,swinie,2020
67,3,pajaki,2021
68,2,psy,2019
69,6,lisice,2022
70,2,kojoty,2021
71,2,lemury,2021
72,4,borsuki,2023
73,3,lasice,2017
74,5,zolwie,2018
75,5,sarny,2021
76,6,tygrysy,2023
77,2,gepardy,2022
78,3,slonie,2018
79,6,ptaki,2017
80,2,chomiki,2017
81,5,lemury,2018
82,4,slonie,2015
83,3,szczury,2021
84,2,ryby,2018
85,6,ptaki,2017
86,4,lwy,2018
87,3,ptaki,2018
88,6,zolwie morskie,2018
89,6,lamparciki,2017
90,3,konie,2019
91,5,kazuary,2021
92,5,tygrysy,2022
93,6,pizmaki,2023
94,3,foki,2019
95,3,myszy,2017
96,4,weze,2020
97,6,hipopotamy,2016
98,5,lamparciki,2017
99,5,hipopotamy,2016
100,6,losie,2017
101,4,kroliki,2020
102,5,strusie,2021
103,6,borsuki,2019
104,3,zolwie,2020
105,2,goryle,2020
106,4,lasice,2019
107,4,pingwiny,2019
108,2,myszy,2016
109,3,psy,2021
110,2,ryby,2016
111,4,ryby,2022
112,6,szakale,2016
113,5,myszy,2015
114,4,jelenie,2017
115,3,kojoty,2019
116,2,zyrafy,2017
117,6,wieloryby,2015
118,3,pingwiny,2019
119,3,ptaki,2020
120,6,swinie,2016
121,3,myszy,2022
122,4,gepardy,2018
123,5,wieloryby,2016
124,4,lisice,2018
125,4,kojoty,2017
126,3,pantery,2022
127,6,lisice,2016
128,2,lisice,2016
129,4,slonie,2023
130,5,slonie,2018
131,2,losie,2019
132,3,zolwie,2019
133,3,owady,2019
134,5,borsuki,2023
135,6,chomiki,2017
136,3,kangury,2022
137,3,zyrafy,2020
138,4,borsuki,2020
139,5,lwy,2018
140,6,borsuki,2019
141,4,gepardy,2021
142,6,krowy,2023
143,2,owce,2023
144,5,borsuki,2015
145,4,orangutany,2016
146,5,sarny,2020
147,5,jaguary,2021
148,5,kazuary,2018
149,6,weze,2022
150,3,owce,2019
151,4,goryle,2019
152,4,pingwiny,2021
153,3,kangury,2015
154,3,krowy,2022
155,4,wydry,2021
156,5,wieloryby,2018
157,6,lemury,2021
158,6,gady,2016
159,2,szakale,2017
160,3,foki,2019
161,2,konie,2016
162,3,lasice,2023
163,2,ryby,2021
164,2,hipopotamy,2020
165,2,strusie,2021
166,5,wieloryby,2017
167,2,wydry,2016
168,4,lisice,2016
169,2,wydry,2015
170,2,lisice,2015
171,5,borsuki,2017
172,3,swinie,2019
173,4,psy,2017
174,5,koty,2018
175,3,zolwie morskie,2021
176,2,orangutany,2021
177,3,kozy,2017
178,6,konie,2017
179,5,nosorozce,2015
180,6,pingwiny,2015
181,6,pantery,2020
182,3,swinie,2019
183,4,lwy,2017
184,6,tygrysy,2021
185,2,zolwie,2018
186,6,kazuary,2020
187,6,losie,2020
188,6,gady,2015
189,6,zyrafy,2020
190,2,szczury,2019
191,3,kozy,2021
192,3,pingwiny,2020
193,6,niedzwiedzie,2019
194,3,jelenie,2020
195,3,zolwie,2020
196,6,wilkowie,2019
197,3,swinie,2020
198,6,delfiny,2015
199,5,tygrysy,2018
200,2,nosorozce,2022
201,2,owady,2018
202,4,dziki,2018
203,5,borsuki,2018
204,3,myszy,2020
205,4,delfiny,2019
206,3,delfiny,2022
207,2,koty,2022
208,2,kroliki,2019
209,4,koty,2019
210,5,kangury,2019
211,4,myszy,2016
212,4,kojoty,2015
213,3,niedzwiedzie,2016
214,5,swinie,2018
215,3,zolwie morskie,2019
216,3,pizmaki,2023
217,2,krokodyle,2018
218,2,pantery,2021
219,5,foki,2018
220,3,wydry,2022
221,3,sarny,2019
222,5,tlumacze,2022
223,2,kangury,2023
224,2,owce,2019
225,4,kojoty,2016
226,5,zolwie,2016
227,6,aligatory,2021
228,2,gady,2023
229,5,wilkowie,2018
230,4,hipopotamy,2016
231,3,delfiny,2020
232,3,psy,2016
233,6,szczury,2020
234,3,gady,2015
235,3,krowy,2022
236,6,kozy,2016
237,2,dziki,2022
238,5,jaguary,2020
239,5,zyrafy,2020
240,2,kojoty,2022
241,3,pingwiny,2023
242,4,pantery,2016
243,4,krokodyle,2020
244,3,gepardy,2022
245,5,goryle,2017
246,5,lasice,2023
247,2,krokodyle,2023
248,6,weze,2020
249,3,jelenie,2017
250,6,jelenie,2021
251,4,gady,2017
252,2,wydry,2018
253,3,swinie,2019
254,3,pajaki,2020
255,5,hipopotamy,2020
256,5,owce,2020
257,3,foki,2021
258,6,aligatory,2023
259,5,aligatory,2021
260,6,kroliki,2017
261,5,slonie,2016
262,3,zolwie morskie,2015
263,6,morswiny,2017
264,4,zyrafy,2015
265,5,morswiny,2017
266,3,wydry,2017
267,5,borsuki,2021
268,3,aligatory,2020
269,4,tygrysy,2017
270,2,lamparciki,2020
271,2,weze,2016
272,2,pantery,2020
273,6,psy,2023
274,6,kojoty,2020
275,5,delfiny,2015
276,6,dugongi,2023
277,3,kazuary,2016
278,4,ptaki,2017
279,5,chomiki,2020
280,2,weze,2015
281,2,owce,2016
282,4,owady,2018
283,5,goryle,2020
284,3,lamparty,2022
285,2,strusie,2019
286,6,dziki,2017
287,4,losie,2021
288,3,ptaki,2021
289,6,lasice,2022
290,4,delfiny,2020
291,2,dugongi,2020
292,3,slonie,2023
293,6,ryby,2018
294,5,krokodyle,2017
295,4,lamparty,2015
296,4,pizmaki,2016
297,6,niedzwiedzie,2019
298,6,goryle,2022
299,6,zolwie morskie,2017
300,3,owce,2021
301,5,delfiny,2020
302,3,szczury,2020
303,5,lemury,2016
304,3,szczury,2018
305,6,dziki,2017
306,3,ptaki,2015
307,3,zolwie,2016
308,5,morswiny,2022
309,5,wieloryby,2022
310,4,morswiny,2016
311,5,owce,2016
312,6,dugongi,2017
